Model Spend_Optim

  Variables:
    edlp : Size=312, Index=edlp_index
        Key     : Lower : Value              : Upper : Fixed : Stale : Domain
         (0, 0) :  0.95 : 0.9936977509548414 :     1 : False : False : NonNegativeReals
         (0, 1) :  0.95 : 0.9937322561825198 :     1 : False : False : NonNegativeReals
         (0, 2) :  0.95 : 0.9938172099123265 :     1 : False : False : NonNegativeReals
         (0, 3) :  0.95 : 0.9937223500505551 :     1 : False : False : NonNegativeReals
         (0, 4) :  0.95 : 0.9938351423174332 :     1 : False : False : NonNegativeReals
         (0, 5) :  0.95 : 0.9938176803726841 :     1 : False : False : NonNegativeReals
         (0, 6) :  0.95 : 0.9938299160389993 :     1 : False : False : NonNegativeReals
         (0, 7) :  0.95 : 0.9938125731153588 :     1 : False : False : NonNegativeReals
         (0, 8) :  0.95 : 0.9938976824784203 :     1 : False : False : NonNegativeReals
         (0, 9) :  0.95 :  0.993887937880035 :     1 : False : False : NonNegativeReals
        (0, 10) :  0.95 :  0.993832370890851 :     1 : False : False : NonNegativeReals
        (0, 11) :  0.95 : 0.9938292516590002 :     1 : False : False : NonNegativeReals
        (0, 12) :  0.95 : 0.9938132604076544 :     1 : False : False : NonNegativeReals
        (0, 13) :  0.95 : 0.9938585492821347 :     1 : False : False : NonNegativeReals
        (0, 14) :  0.95 : 0.9937633535995721 :     1 : False : False : NonNegativeReals
        (0, 15) :  0.95 : 0.9938159621414854 :     1 : False : False : NonNegativeReals
        (0, 16) :  0.95 : 0.9936673044132236 :     1 : False : False : NonNegativeReals
        (0, 17) :  0.95 : 0.9937740220585852 :     1 : False : False : NonNegativeReals
        (0, 18) :  0.95 : 0.9937360229558537 :     1 : False : False : NonNegativeReals
        (0, 19) :  0.95 : 0.9936859505897472 :     1 : False : False : NonNegativeReals
        (0, 20) :  0.95 : 0.9936954465713855 :     1 : False : False : NonNegativeReals
        (0, 21) :  0.95 : 0.9936520271265536 :     1 : False : False : NonNegativeReals
        (0, 22) :  0.95 : 0.9937044457922056 :     1 : False : False : NonNegativeReals
        (0, 23) :  0.95 : 0.9936856873002988 :     1 : False : False : NonNegativeReals
        (0, 24) :  0.95 : 0.9936957694573983 :     1 : False : False : NonNegativeReals
        (0, 25) :  0.95 : 0.9936847043654925 :     1 : False : False : NonNegativeReals
        (0, 26) :  0.95 : 0.9937509434276715 :     1 : False : False : NonNegativeReals
        (0, 27) :  0.95 : 0.9936566776649942 :     1 : False : False : NonNegativeReals
        (0, 28) :  0.95 : 0.9936674210451955 :     1 : False : False : NonNegativeReals
        (0, 29) :  0.95 : 0.9936610660848959 :     1 : False : False : NonNegativeReals
        (0, 30) :  0.95 : 0.9937067303046752 :     1 : False : False : NonNegativeReals
        (0, 31) :  0.95 : 0.9936711616517582 :     1 : False : False : NonNegativeReals
        (0, 32) :  0.95 : 0.9936773559420338 :     1 : False : False : NonNegativeReals
        (0, 33) :  0.95 : 0.9936761189563437 :     1 : False : False : NonNegativeReals
        (0, 34) :  0.95 : 0.9937007524988474 :     1 : False : False : NonNegativeReals
        (0, 35) :  0.95 : 0.9937040881705044 :     1 : False : False : NonNegativeReals
        (0, 36) :  0.95 :  0.993641308867221 :     1 : False : False : NonNegativeReals
        (0, 37) :  0.95 : 0.9936552702360117 :     1 : False : False : NonNegativeReals
